ID,Type,Timestamp,Age,Age Group,Cohort,Attend,Attend Group,Gender,1A,1B,1C,1D,1E,1F,1G,1H,2,3,4,5,6,7,8,9
1,Online,2020/10/18 7:58:21 PM EST,62,6,Boomer,15,6,M,1,2,2,5,3,5,5,2,cannot think of anything,ways to serve the community,e,a;b;c,d;h,preparing upcoming generations to take over,yes. has potential,"clear, applicable Bible teaching"
2,Online,2020/10/19 11:33:36 AM EST,69,7,Boomer,4,3,F,1,1,1,1,1,1,1,1,More personal interaction with the congregation,Allowed time for testimonies and spoken prayer requests.,a,f;e,c;h,Larger attendance & bringing more lost souls to God,Yes because we love God's people,A pastor who preaches through the spirit of the Lord and not be constricted by the clock.
3,Online,2020/10/19 12:35:40 PM EST,73,7,Boomer,4,3,M,1,2,1,1,1,1,2,2,,Personal welcoming of new visitors.,a;c;e,a;h,f;h,Full capacity of the sanctuary,Yes. Welcoming atmosphere by the congregation.,A person who will keep your mind on the sermon in a spiritual and joyful way.
4,Online,2020/10/19 3:21:32 PM EST,71,7,Boomer,55,9,F,5,5,2,4,2,2,5,5,Long friendships,Worship was more inclusive of congregation.  Music was familiar and not performance music.,h,c;i;e,c;e,Either thriving or barely surviving,No.   Too unstable at this time.,"Someone with vision and drive, not just filling a role.   Truly called to ministry not just finding it is a job to do."
5,Online,2020/10/19 3:48:56 PM EST,72,7,Boomer,50,9,M,2,5,1,3,3,2,2,4,,Excellent Worship Services  enhanced  by Worshipful atmosphere. I am Often embarrassed with our services.  We are there to Worship not be entertained!,h,b;c;h,c;d,Strong Pastoral leadership that will assist in developing a new vision to unify the congregation in meeting Biblical objectives. Unity is the key ingredient to achieving any objectives.,Not sure. If we continue with the type of ministry we have the past 10 years the answer is probably not! We have lost our focus and ability to fulfill our stated mission and vision.,"Think outside the box. Don’t limit your search to geographical area, Economics,  denomination, or Church of God credentials. I have not been impressed with a number of Church of God Credentialed  Pastors. I do believe some Seminary experience would be helpful. I do believe the new pastor needs to have a fair knowledge of Social Media Tools. The pastor wife needs to be active in the ministry. Our past two pastors wife’s did not play a significant role in the congregation. Most of all he needs to be a strong leader not just a manager. He should be able to lead the various committees not just follow their direction."
6,Online,2020/10/19 5:17:07 PM EST,66,7,Boomer,10,5,F,2,2,2,2,2,2,2,2,Close relationships,Music,g,g;i,b;c,,Yes loving environment,Giving Pastor Dwight position
7,Online,2020/10/19 5:31:38 PM EST,67,7,Boomer,10,5,M,2,2,1,3,2,2,5,4,Family attends,More traditional music,g,b;c;h,g;c,At same level unless leadership provides motivational direction,Possibly but it would be limited based on worship format,I'm praying for you
8,Online,2020/10/19 5:42:36 PM EST,66,7,Boomer,12,5,F,2,2,2,5,2,2,2,2,,Hymns,g,a;g;i,b;c,,Yes loving congregation,Pastor Dwight is my choose
9,Online,2020/10/20 9:05:55 AM EST,60,6,Boomer,53,9,M,2,5,2,5,5,2,5,5,"DONT KNOW, HAVE ONLY GONE TO THIS CHURCH","STRONGER MESSAGES, ABOUT WORLDLY ISSUES",g,a;c;i,g;c,"LOVING FAMILY, DISCIPLESHIPLING PEOPLE WITH GODS WORD NOT THE WORLDS VIEW","MAYBE, UNCERTAIN HOW I FEEL ABOUT ARE CHURCH NOW","SOMEONE I COULD TALK TO AND KNOW IT WAS KEPTED TO THEMSELVES AND ARE NOT AFRAID TO TAKE ON THE HOT TOPICS OF THE WORLD FROM GODS WORD. SOMEONE THAT KNOWS THE WORD OF GOD AND DOES NOT MISS USE IT TO FIT THERE MASSAGE AND WOULD MAKE THEMSELVES AVAILABLE AFTER CHURCH FOR QUESTIONS AND DISCUSSION. SOMEONE WHOSE FAMILY WOULD BECOME PART OF THE CHURCH FAMILY AND MY FAMILY A PASTOR NOT A PREACHER, A LEADER NOT A BOSS"
10,Online,2020/10/20 9:52:42 AM EST,81,8,Silent Gen,5,4,F,1,1,1,2,1,1,1,2,The friendliness and care of the congregation.,More hymns.  They’re a very important part of my life.,a,a;c;h,a;b,"I hope we get the Sunday School program going again, and attract young families.  That builds the church.  A young minister with a family would be ideal.  ","Yes, because of the friendliness and care of those attending.","Someone who would be able to get the different age groups to work together.  We now have a wonderful leader for the Young at Heart, but the other groups need a leader, so we can all help each other.  A minister who can relate to all age groups would be a real blessing.  "
11,Online,2020/10/20 12:05:29 PM EST,67,7,Boomer,28,7,F,2,2,2,2,2,2,2,2,,,a;b;c;d;f,a;b,c,hoping for growth older people are passing on,yes it is friendly and welcoming,
12,Online,2020/10/20 12:06:57 PM EST,17,1,Millenial,7,4,F,1,2,2,5,2,1,1,1,"The feeling of belonging, that I fit in well.",More youth/young adult events,a;g,b;h,a;e,In a place that caters towards both the younger & older generations effectively.,Yes because of its potential.,I feel like I really connect best when Pastor Dwight preaches versus other pastors that have preached to me because he keeps my attention by being versatile and using visual props as well as bringing in real life situations to his sermons. He is also very relatable and down to earth which helps.
13,Online,2020/10/20 2:47:06 PM EST,68,7,Boomer,30,8,F,1,2,2,2,2,2,2,2,Only church I’ve really gone to so n/also,Little more freedom in worship.,a,b;h,b;c,Unsure,"If young children not sure, our ministries to most groups , people kinda in limbo right now. And a lot of this could be because of the world not just our church","It was nice years past to have Easter, Christmas specials. "
14,Online,2020/10/20 4:33:45 PM EST,68,7,Boomer,30,8,F,1,2,2,2,2,2,2,2,Only church I’ve really gone to so n/also,Little more freedom in worship.,a,b;h,b;c,Unsure,"If young children not sure, our ministries to most groups , people kinda in limbo right now. And a lot of this could be because of the world not just our church","It was nice years past to have Easter, Christmas specials. "
