Timestamp,Your age,How many months or years have you attended the church?,Your gender,In Your Opinion... [I feel like I am a part of the congregation.],In Your Opinion... [I feel connected to others as I worship here.],In Your Opinion... [People help each other and pray for one another.],In Your Opinion... [There is a strong sense of unity within our church.],In Your Opinion... [Our church ministers to the needs of people in our community.],In Your Opinion... [I am/or have grown spiritually as a result of attending here.],In Your Opinion... [The preaching of God’s word in our church is clear.],In Your Opinion... [Our worship services inspire genuine heartfelt praise.],2.	What aspect of this church do you like that you haven’t been able to find or have experienced at another church? ,"3.	If you have visited other churches, what did you like there that our church does not offer? ",4.	What is the most important reason you attend this church?,5.	In what areas do you believe the church could use the most improvement? (Choose only three),"6.	Concerning an incoming pastor, what ministry experience do you believe is most important? (Choose only two)",7.	Where do you envision our church in five years?,8.	Would you recommend this church to a friend? Why or why not?,9.	What else would you like the search committee to consider? 
2020/10/18 7:58:21 PM EST,62,15,male,Strongly Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,cannot think of anything,ways to serve the community,Other,impression and attendance;reaching younger generation;building community,missions and outreach;church growth,preparing upcoming generations to take over,yes. has potential,"clear, applicable Bible teaching"
2020/10/19 11:33:36 AM EST,69,4 years,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More personal interaction with the congregation,Allowed time for testimonies and spoken prayer requests.,fellowship community,outreach and evangelism;Other,discipleship;church growth,Larger attendance & bringing more lost souls to God,Yes because we love God's people,A pastor who preaches through the spirit of the Lord and not be constricted by the clock.
2020/10/19 12:35:40 PM EST,73,4 years,male,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,Personal welcoming of new visitors.,fellowship community;love of preaching;Other,impression and attendance;preaching,prayer ministry;church growth,Full capacity of the sanctuary,Yes. Welcoming atmosphere by the congregation.,A person who will keep your mind on the sermon in a spiritual and joyful way.
2020/10/19 3:21:32 PM EST,71,55,Female,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Long friendships,Worship was more inclusive of congregation.  Music was familiar and not performance music.,raised in this church/long history,building community;communication;Other,discipleship;Other,Either thriving or barely surviving,No.   Too unstable at this time.,"Someone with vision and drive, not just filling a role.   Truly called to ministry not just finding it is a job to do."
2020/10/19 3:48:56 PM EST,72,50 years,male,Agree,Neither agree nor disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,,Excellent Worship Services  enhanced  by Worshipful atmosphere. I am Often embarrassed with our services.  We are there to Worship not be entertained!,raised in this church/long history,reaching younger generation;building community;preaching,discipleship;missions and outreach,Strong Pastoral leadership that will assist in developing a new vision to unify the congregation in meeting Biblical objectives. Unity is the key ingredient to achieving any objectives.,Not sure. If we continue with the type of ministry we have the past 10 years the answer is probably not! We have lost our focus and ability to fulfill our stated mission and vision.,"Think outside the box. Don’t limit your search to geographical area, Economics,  denomination, or Church of God credentials. I have not been impressed with a number of Church of God Credentialed  Pastors. I do believe some Seminary experience would be helpful. I do believe the new pastor needs to have a fair knowledge of Social Media Tools. The pastor wife needs to be active in the ministry. Our past two pastors wife’s did not play a significant role in the congregation. Most of all he needs to be a strong leader not just a manager. He should be able to lead the various committees not just follow their direction."
2020/10/19 5:10:55 PM EST,72,50 years,male,Agree,Neither agree nor disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,,Excellent Worship Services  enhanced  by Worshipful atmosphere. I am Often embarrassed with our services.  We are there to Worship not be entertained!,raised in this church/long history,reaching younger generation;building community;preaching,discipleship;missions and outreach,Strong Pastoral leadership that will assist in developing a new vision to unify the congregation in meeting Biblical objectives. Unity is the key ingredient to achieving any objectives.,Not sure. If we continue with the type of ministry we have the past 10 years the answer is probably not! We have lost our focus and ability to fulfill our stated mission and vision.,"Think outside the box. Don’t limit your search to geographical area, Economics,  denomination, or Church of God credentials. I have not been impressed with a number of Church of God Credentialed  Pastors. I do believe some Seminary experience would be helpful. I do believe the new pastor needs to have a fair knowledge of Social Media Tools. The pastor wife needs to be active in the ministry. Our past two pastors wife’s did not play a significant role in the congregation. Most of all he needs to be a strong leader not just a manager. He should be able to lead the various committees not just follow their direction."
2020/10/19 5:17:07 PM EST,66,10 years,Female,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Close relationships,Music,because of family/friends,visitation;communication,young families;discipleship,,Yes loving environment,Giving Pastor Dwight position
2020/10/19 5:31:38 PM EST,67,10 years,male,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Family attends,More traditional music,because of family/friends,reaching younger generation;building community;preaching,children's ministry;discipleship,At same level unless leadership provides motivational direction,Possibly but it would be limited based on worship format,I'm praying for you
2020/10/19 5:42:36 PM EST,66,12 years,Female,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,,Hymns,because of family/friends,impression and attendance;visitation;communication,young families;discipleship,,Yes loving congregation,Pastor Dwight is my choose
2020/10/20 9:05:55 AM EST,60,53,male,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,"DONT KNOW, HAVE ONLY GONE TO THIS CHURCH","STRONGER MESSAGES, ABOUT WORLDLY ISSUES",because of family/friends,impression and attendance;building community;communication,children's ministry;discipleship,"LOVING FAMILY, DISCIPLESHIPLING PEOPLE WITH GODS WORD NOT THE WORLDS VIEW","MAYBE, UNCERTAIN HOW I FEEL ABOUT ARE CHURCH NOW","SOMEONE I COULD TALK TO AND KNOW IT WAS KEPTED TO THEMSELVES AND ARE NOT AFRAID TO TAKE ON THE HOT TOPICS OF THE WORLD FROM GODS WORD. SOMEONE THAT KNOWS THE WORD OF GOD AND DOES NOT MISS USE IT TO FIT THERE MASSAGE AND WOULD MAKE THEMSELVES AVAILABLE AFTER CHURCH FOR QUESTIONS AND DISCUSSION. SOMEONE WHOSE FAMILY WOULD BECOME PART OF THE CHURCH FAMILY AND MY FAMILY A PASTOR NOT A PREACHER, A LEADER NOT A BOSS"
